201210257565488|L001-01|Мектепке чейинки билим беруу мекемелерине медициналык каражаттарды алуу|100 220|с/у Зулпуев|<span>Условие поставки</span>
201210257516140|L001-01|Покупка огнетушителей для школ и детских садиков с/у Кызыл-Кыштак|57 000|с/у Кызыл-Кыштак|<span>Условие поставки</span>
201210257482300|L009-01|Бисопролол 5 мг*30|2 480|г.Сулюкта,п.Кош-Булак, ул.С.Султанова, 109, склад больничной аптеки|<span>Условие поставки</span>|Поставка производится дробно: 1 этап -50% до 25.12.20 г, 2 этап-50% до 25.01.20 г.
201210257482300|L010-01|Бромгесин 8 мг №25 таб|1 120|г.Сулюкта,п.Кош-Булак, ул.С.Султанова, 109, склад больничной аптеки|<span>Условие поставки</span>|Поставка производится дробно: 1 этап -50% до 25.12.20 г, 2 этап-50% до 25.01.20 г.
201210257482300|L011-01|Вакутайнер 6 мл красная крышка|13 000|г.Сулюкта,п.Кош-Булак, ул.С.Султанова, 109, склад больничной аптеки|<span>Условие поставки</span>|Поставка производится дробно: 1 этап -50% до 25.12.20 г, 2 этап-50% до 25.01.20 г.
201210257482300|L012-01|Вата медицинская|6 800|г.Сулюкта,п.Кош-Булак, ул.С.Султанова, 109, склад больничной аптеки|<span>Условие поставки</span>|Поставка производится дробно: 1 этап -50% до 25.12.20 г, 2 этап-50% до 25.01.20 г.
201210257482300|L013-01|Вода для инъекций 2*10|5 260|г.Сулюкта,п.Кош-Булак, ул.С.Султанова, 109, склад больничной аптеки|<span>Условие поставки</span>|Поставка производится дробно: 1 этап -50% до 25.12.20 г, 2 этап-50% до 25.01.20 г.
201210257482300|L014-01|Гепарин 5,0|31 200|г.Сулюкта,п.Кош-Булак, ул.С.Султанова, 109, склад больничной аптеки|<span>Условие поставки</span>|Поставка производится дробно: 1 этап -50% до 25.12.20 г, 2 этап-50% до 25.01.20 г.
201210257482300|L015-01|Гипохлорит кальция|12 000|г.Сулюкта,п.Кош-Булак, ул.С.Султанова, 109, склад больничной аптеки|<span>Условие поставки</span>|Поставка производится дробно: 1 этап -50% до 25.12.20 г, 2 этап-50% до 25.01.20 г.
201210257482300|L016-01|Глицерин 50,0|660|г.Сулюкта,п.Кош-Булак, ул.С.Султанова, 109, склад больничной аптеки|<span>Условие поставки</span>|Поставка производится дробно: 1 этап -50% до 25.12.20 г, 2 этап-50% до 25.01.20 г.
201210257482300|L017-01|Глюкоза 40% 10*10|2 800|г.Сулюкта,п.Кош-Булак, ул.С.Султанова, 109, склад больничной аптеки|<span>Условие поставки</span>|Поставка производится дробно: 1 этап -50% до 25.12.20 г, 2 этап-50% до 25.01.20 г.
201210257482300|L018-01|Д-Димер|6 180|г.Сулюкта,п.Кош-Булак, ул.С.Султанова, 109, склад больничной аптеки|<span>Условие поставки</span>|Поставка производится дробно: 1 этап -50% до 25.12.20 г, 2 этап-50% до 25.01.20 г.
201210257482300|L019-01|Дексаметазон 1,0*10|7 800|г.Сулюкта,п.Кош-Булак, ул.С.Султанова, 109, склад больничной аптеки|<span>Условие поставки</span>|Поставка производится дробно: 1 этап -50% до 25.12.20 г, 2 этап-50% до 25.01.20 г.
201210257482300|L020-01|Держатель иглы для вакутайнера|8 000|г.Сулюкта,п.Кош-Булак, ул.С.Султанова, 109, склад больничной аптеки|<span>Условие поставки</span>|Поставка производится дробно: 1 этап -50% до 25.12.20 г, 2 этап-50% до 25.01.20 г.
201210257482300|L021-01|Дефинилгидромин 1% 1*10|1 900|г.Сулюкта,п.Кош-Булак, ул.С.Султанова, 109, склад больничной аптеки|<span>Условие поставки</span>|Поставка производится дробно: 1 этап -50% до 25.12.20 г, 2 этап-50% до 25.01.20 г.
201210257482300|L022-01|Дигоксин 0,025% 1*10|1 848|г.Сулюкта,п.Кош-Булак, ул.С.Султанова, 109, склад больничной аптеки|<span>Условие поставки</span>|Поставка производится дробно: 1 этап -50% до 25.12.20 г, 2 этап-50% до 25.01.20 г.
201210257482300|L023-01|Допамин 5*10|2 250|г.Сулюкта,п.Кош-Булак, ул.С.Султанова, 109, склад больничной аптеки|<span>Условие поставки</span>|Поставка производится дробно: 1 этап -50% до 25.12.20 г, 2 этап-50% до 25.01.20 г.
201210257482300|L024-01|Дроперидол 0,25% 5,0мл|1 660|г.Сулюкта,п.Кош-Булак, ул.С.Султанова, 109, склад больничной аптеки|<span>Условие поставки</span>|Поставка производится дробно: 1 этап -50% до 25.12.20 г, 2 этап-50% до 25.01.20 г.
201210257482300|L025-01|Дротаверин 2% 2*10|4 440|г.Сулюкта,п.Кош-Булак, ул.С.Султанова, 109, склад больничной аптеки|<span>Условие поставки</span>|Поставка производится дробно: 1 этап -50% до 25.12.20 г, 2 этап-50% до 25.01.20 г.
201210257482300|L026-01|Ибупрофен 200мг №50|1 300|г.Сулюкта,п.Кош-Булак, ул.С.Султанова, 109, склад больничной аптеки|<span>Условие поставки</span>|Поставка производится дробно: 1 этап -50% до 25.12.20 г, 2 этап-50% до 25.01.20 г.
201210257482300|L027-01|Игла вакутайнера для забора крови|17 000|г.Сулюкта,п.Кош-Булак, ул.С.Султанова, 109, склад больничной аптеки|<span>Условие поставки</span>|Поставка производится дробно: 1 этап -50% до 25.12.20 г, 2 этап-50% до 25.01.20 г.
201210257482300|L028-01|Калипсол 500 мг/10 мл №1|8 600|г.Сулюкта,п.Кош-Булак, ул.С.Султанова, 109, склад больничной аптеки|<span>Условие поставки</span>|Поставка производится дробно: 1 этап -50% до 25.12.20 г, 2 этап-50% до 25.01.20 г.
201210257482300|L029-01|Кальция глюконата раствор 10% 10*10|1 410|г.Сулюкта,п.Кош-Булак, ул.С.Султанова, 109, склад больничной аптеки|<span>Условие поставки</span>|Поставка производится дробно: 1 этап -50% до 25.12.20 г, 2 этап-50% до 25.01.20 г.
201210257482300|L030-01|Канюля назальная взрослая|5 600|г.Сулюкта,п.Кош-Булак, ул.С.Султанова, 109, склад больничной аптеки|<span>Условие поставки</span>|Поставка производится дробно: 1 этап -50% до 25.12.20 г, 2 этап-50% до 25.01.20 г.
201210257482300|L031-01|Канюля назальная детская|4 800|г.Сулюкта,п.Кош-Булак, ул.С.Султанова, 109, склад больничной аптеки|<span>Условие поставки</span>|Поставка производится дробно: 1 этап -50% до 25.12.20 г, 2 этап-50% до 25.01.20 г.
201210257482300|L032-01|Катетер В-В G22 с крыльями и портом|2 600|г.Сулюкта,п.Кош-Булак, ул.С.Султанова, 109, склад больничной аптеки|<span>Условие поставки</span>|Поставка производится дробно: 1 этап -50% до 25.12.20 г, 2 этап-50% до 25.01.20 г.
201210257482300|L033-01|Катетер В-В G24 с крыльями и портом|5 200|г.Сулюкта,п.Кош-Булак, ул.С.Султанова, 109, склад больничной аптеки|<span>Условие поставки</span>|Поставка производится дробно: 1 этап -50% до 25.12.20 г, 2 этап-50% до 25.01.20 г.
201210257482300|L034-01|Кетгут 1 (5 metric)|4 800|г.Сулюкта,п.Кош-Булак, ул.С.Султанова, 109, склад больничной аптеки|<span>Условие поставки</span>|Поставка производится дробно: 1 этап -50% до 25.12.20 г, 2 этап-50% до 25.01.20 г.
201210257482300|L035-01|Кетгут 2/0 (3,5 metric)|6 600|г.Сулюкта,п.Кош-Булак, ул.С.Султанова, 109, склад больничной аптеки|<span>Условие поставки</span>|Поставка производится дробно: 1 этап -50% до 25.12.20 г, 2 этап-50% до 25.01.20 г.
201210257482300|L036-01|Кетгут 3/0 (3 metric)|6 600|г.Сулюкта,п.Кош-Булак, ул.С.Султанова, 109, склад больничной аптеки|<span>Условие поставки</span>|Поставка производится дробно: 1 этап -50% до 25.12.20 г, 2 этап-50% до 25.01.20 г.
201210257482300|L037-01|Кетгут 4/0 (2 metric)|4 200|г.Сулюкта,п.Кош-Булак, ул.С.Султанова, 109, склад больничной аптеки|<span>Условие поставки</span>|Поставка производится дробно: 1 этап -50% до 25.12.20 г, 2 этап-50% до 25.01.20 г.
201210257482300|L038-01|Конакион ММ 2мг/0,2мл №5|18 000|г.Сулюкта,п.Кош-Булак, ул.С.Султанова, 109, склад больничной аптеки|<span>Условие поставки</span>|Поставка производится дробно: 1 этап -50% до 25.12.20 г, 2 этап-50% до 25.01.20 г.
201210257482300|L039-01|Ко-тримаксозол  480мг №10|900|г.Сулюкта,п.Кош-Булак, ул.С.Султанова, 109, склад больничной аптеки|<span>Условие поставки</span>|Поставка производится дробно: 1 этап -50% до 25.12.20 г, 2 этап-50% до 25.01.20 г.
201210257482300|L040-01|Левофлоксацин 500мг/100мл|26 400|г.Сулюкта,п.Кош-Булак, ул.С.Султанова, 109, склад больничной аптеки|<span>Условие поставки</span>|Поставка производится дробно: 1 этап -50% до 25.12.20 г, 2 этап-50% до 25.01.20 г.
201210257482300|L041-01|Лейкопластырь медицинский 2*500|3 250|г.Сулюкта,п.Кош-Булак, ул.С.Султанова, 109, склад больничной аптеки|<span>Условие поставки</span>|Поставка производится дробно: 1 этап -50% до 25.12.20 г, 2 этап-50% до 25.01.20 г.
201210257482300|L042-01|Лоперамид 2 мг №20 таб|350|г.Сулюкта,п.Кош-Булак, ул.С.Султанова, 109, склад больничной аптеки|<span>Условие поставки</span>|Поставка производится дробно: 1 этап -50% до 25.12.20 г, 2 этап-50% до 25.01.20 г.
201210257482300|L043-01|Магния сульфат 25% 5,0 №10|640|г.Сулюкта,п.Кош-Булак, ул.С.Султанова, 109, склад больничной аптеки|<span>Условие поставки</span>|Поставка производится дробно: 1 этап -50% до 25.12.20 г, 2 этап-50% до 25.01.20 г.
201210257482300|L044-01|Мазь левомеколь 40,0|1 440|г.Сулюкта,п.Кош-Булак, ул.С.Султанова, 109, склад больничной аптеки|<span>Условие поставки</span>|Поставка производится дробно: 1 этап -50% до 25.12.20 г, 2 этап-50% до 25.01.20 г.
201210257482300|L045-01|Маска одноразовая|36 800|г.Сулюкта,п.Кош-Булак, ул.С.Султанова, 109, склад больничной аптеки|<span>Условие поставки</span>|Поставка производится дробно: 1 этап -50% до 25.12.20 г, 2 этап-50% до 25.01.20 г.
201210257482300|L046-01|Метилдопа 250 мг №30|8 910|г.Сулюкта,п.Кош-Булак, ул.С.Султанова, 109, склад больничной аптеки|<span>Условие поставки</span>|Поставка производится дробно: 1 этап -50% до 25.12.20 г, 2 этап-50% до 25.01.20 г.
201210257482300|L047-01|Метоклопрамид 5 мг/мл 2мл*10|2 100|г.Сулюкта,п.Кош-Булак, ул.С.Султанова, 109, склад больничной аптеки|<span>Условие поставки</span>|Поставка производится дробно: 1 этап -50% до 25.12.20 г, 2 этап-50% до 25.01.20 г.
201210257482300|L048-01|Мочевая кислота 4*30 мл для Humalyzer 3500|9 240|г.Сулюкта,п.Кош-Булак, ул.С.Султанова, 109, склад больничной аптеки|<span>Условие поставки</span>|Поставка производится дробно: 1 этап -50% до 25.12.20 г, 2 этап-50% до 25.01.20 г.
201210257482300|L049-01|Мочевина 2*100 мл для Humalyzer 3500|9 240|г.Сулюкта,п.Кош-Булак, ул.С.Султанова, 109, склад больничной аптеки|<span>Условие поставки</span>|Поставка производится дробно: 1 этап -50% до 25.12.20 г, 2 этап-50% до 25.01.20 г.
201210257482300|L050-01|Наконечники для дозатора голубые 50-1000 мкл №500|6 768|г.Сулюкта,п.Кош-Булак, ул.С.Султанова, 109, склад больничной аптеки|<span>Условие поставки</span>|Поставка производится дробно: 1 этап -50% до 25.12.20 г, 2 этап-50% до 25.01.20 г.
201210257482300|L051-01|Наконечники для дозатора желтые 2-200 мкл №1000|5 640|г.Сулюкта,п.Кош-Булак, ул.С.Султанова, 109, склад больничной аптеки|<span>Условие поставки</span>|Поставка производится дробно: 1 этап -50% до 25.12.20 г, 2 этап-50% до 25.01.20 г.
201210257482300|L052-01|Натрия хлорид 0,9% 10 мл №10|16 200|г.Сулюкта,п.Кош-Булак, ул.С.Султанова, 109, склад больничной аптеки|<span>Условие поставки</span>|Поставка производится дробно: 1 этап -50% до 25.12.20 г, 2 этап-50% до 25.01.20 г.
201210257482300|L053-01|Натрия хлорид 0,9% 100 мл|18 600|г.Сулюкта,п.Кош-Булак, ул.С.Султанова, 109, склад больничной аптеки|<span>Условие поставки</span>|Поставка производится дробно: 1 этап -50% до 25.12.20 г, 2 этап-50% до 25.01.20 г.
201210257482300|L054-01|Натрия хлорид 0,9% 200 мл|22 300|г.Сулюкта,п.Кош-Булак, ул.С.Султанова, 109, склад больничной аптеки|<span>Условие поставки</span>|Поставка производится дробно: 1 этап -50% до 25.12.20 г, 2 этап-50% до 25.01.20 г.
201210257482300|L055-01|Натрия хлорид 0,9% 400 мл|29 000|г.Сулюкта,п.Кош-Булак, ул.С.Султанова, 109, склад больничной аптеки|<span>Условие поставки</span>|Поставка производится дробно: 1 этап -50% до 25.12.20 г, 2 этап-50% до 25.01.20 г.
201210257482300|L056-01|Нифедипин 10 мг № 50|950|г.Сулюкта,п.Кош-Булак, ул.С.Султанова, 109, склад больничной аптеки|<span>Условие поставки</span>|Поставка производится дробно: 1 этап -50% до 25.12.20 г, 2 этап-50% до 25.01.20 г.
201210257482300|L057-01|Новокаин 0,5%  5мг*10|9 000|г.Сулюкта,п.Кош-Булак, ул.С.Султанова, 109, склад больничной аптеки|<span>Условие поставки</span>|Поставка производится дробно: 1 этап -50% до 25.12.20 г, 2 этап-50% до 25.01.20 г.
201210257482300|L058-01|Омепразол 20 мг №30|5 680|г.Сулюкта,п.Кош-Булак, ул.С.Султанова, 109, склад больничной аптеки|<span>Условие поставки</span>|Поставка производится дробно: 1 этап -50% до 25.12.20 г, 2 этап-50% до 25.01.20 г.
201210257482300|L059-01|Парацетамол 0,2*10|1 050|г.Сулюкта,п.Кош-Булак, ул.С.Султанова, 109, склад больничной аптеки|<span>Условие поставки</span>|Поставка производится дробно: 1 этап -50% до 25.12.20 г, 2 этап-50% до 25.01.20 г.
201210257482300|L060-01|Парацетамол 2,4% 100,0|3 000|г.Сулюкта,п.Кош-Булак, ул.С.Султанова, 109, склад больничной аптеки|<span>Условие поставки</span>|Поставка производится дробно: 1 этап -50% до 25.12.20 г, 2 этап-50% до 25.01.20 г.
201210257482300|L061-01|Перчатки нестерильные 8|120 000|г.Сулюкта,п.Кош-Булак, ул.С.Султанова, 109, склад больничной аптеки|<span>Условие поставки</span>|Поставка производится дробно: 1 этап -50% до 25.12.20 г, 2 этап-50% до 25.01.20 г.
201210257482300|L062-01|Перчатки стерильные 8|96 000|г.Сулюкта,п.Кош-Булак, ул.С.Султанова, 109, склад больничной аптеки|<span>Условие поставки</span>|Поставка производится дробно: 1 этап -50% до 25.12.20 г, 2 этап-50% до 25.01.20 г.
201210257482300|L063-01|Преднизолон 1,0*3|656|г.Сулюкта,п.Кош-Булак, ул.С.Султанова, 109, склад больничной аптеки|<span>Условие поставки</span>|Поставка производится дробно: 1 этап -50% до 25.12.20 г, 2 этап-50% до 25.01.20 г.
201210257482300|L064-01|Преднизолон 5 мг №100 таб.|500|г.Сулюкта,п.Кош-Булак, ул.С.Султанова, 109, склад больничной аптеки|<span>Условие поставки</span>|Поставка производится дробно: 1 этап -50% до 25.12.20 г, 2 этап-50% до 25.01.20 г.
201210257482300|L065-01|Прозерин 0,05% 1,0*10|1 100|г.Сулюкта,п.Кош-Булак, ул.С.Султанова, 109, склад больничной аптеки|<span>Условие поставки</span>|Поставка производится дробно: 1 этап -50% до 25.12.20 г, 2 этап-50% до 25.01.20 г.
201210257482300|L066-01|Ранитидин 150 мг №20|900|г.Сулюкта,п.Кош-Булак, ул.С.Султанова, 109, склад больничной аптеки|<span>Условие поставки</span>|Поставка производится дробно: 1 этап -50% до 25.12.20 г, 2 этап-50% до 25.01.20 г.
201210257482300|L067-01|Респиратор FFP-2 с клапаном |32 000|г.Сулюкта,п.Кош-Булак, ул.С.Султанова, 109, склад больничной аптеки|<span>Условие поставки</span>|Поставка производится дробно: 1 этап -50% до 25.12.20 г, 2 этап-50% до 25.01.20 г.
201210257482300|L068-01|Рингера 400 мл|9 300|г.Сулюкта,п.Кош-Булак, ул.С.Султанова, 109, склад больничной аптеки|<span>Условие поставки</span>|Поставка производится дробно: 1 этап -50% до 25.12.20 г, 2 этап-50% до 25.01.20 г.
201210257482300|L069-01|Система для переливания жидкостей |45 000|г.Сулюкта,п.Кош-Булак, ул.С.Султанова, 109, склад больничной аптеки|<span>Условие поставки</span>|Поставка производится дробно: 1 этап -50% до 25.12.20 г, 2 этап-50% до 25.01.20 г.
201210257482300|L070-01|Сульфат цинка 124мг №50|2 000|г.Сулюкта,п.Кош-Булак, ул.С.Султанова, 109, склад больничной аптеки|<span>Условие поставки</span>|Поставка производится дробно: 1 этап -50% до 25.12.20 г, 2 этап-50% до 25.01.20 г.
201210257482300|L071-01|Фамотидин 20 мг №20|88|г.Сулюкта,п.Кош-Булак, ул.С.Султанова, 109, склад больничной аптеки|<span>Условие поставки</span>|Поставка производится дробно: 1 этап -50% до 25.12.20 г, 2 этап-50% до 25.01.20 г.
201210257482300|L072-01|Флуконазол 150 мг №1|1 200|г.Сулюкта,п.Кош-Булак, ул.С.Султанова, 109, склад больничной аптеки|<span>Условие поставки</span>|Поставка производится дробно: 1 этап -50% до 25.12.20 г, 2 этап-50% до 25.01.20 г.
201210257482300|L073-01|Фуросемид  2*10|2 340|г.Сулюкта,п.Кош-Булак, ул.С.Султанова, 109, склад больничной аптеки|<span>Условие поставки</span>|Поставка производится дробно: 1 этап -50% до 25.12.20 г, 2 этап-50% до 25.01.20 г.
201210257482300|L074-01|Хлорная известь марка А 1 сорта|12 000|г.Сулюкта,п.Кош-Булак, ул.С.Султанова, 109, склад больничной аптеки|<span>Условие поставки</span>|Поставка производится дробно: 1 этап -50% до 25.12.20 г, 2 этап-50% до 25.01.20 г.
201210257482300|L075-01|Цефазолин 1,0|16 200|г.Сулюкта,п.Кош-Булак, ул.С.Султанова, 109, склад больничной аптеки|<span>Условие поставки</span>|Поставка производится дробно: 1 этап -50% до 25.12.20 г, 2 этап-50% до 25.01.20 г.
201210257482300|L076-01|Цефепим 1,0|60 000|г.Сулюкта,п.Кош-Булак, ул.С.Султанова, 109, склад больничной аптеки|<span>Условие поставки</span>|Поставка производится дробно: 1 этап -50% до 25.12.20 г, 2 этап-50% до 25.01.20 г.
201210257482300|L077-01|Цефтриаксон 1,0|50 000|г.Сулюкта,п.Кош-Булак, ул.С.Султанова, 109, склад больничной аптеки|<span>Условие поставки</span>|Поставка производится дробно: 1 этап -50% до 25.12.20 г, 2 этап-50% до 25.01.20 г.
201210257482300|L078-01|Чепчик одноразовый|6 000|г.Сулюкта,п.Кош-Булак, ул.С.Султанова, 109, склад больничной аптеки|<span>Условие поставки</span>|Поставка производится дробно: 1 этап -50% до 25.12.20 г, 2 этап-50% до 25.01.20 г.
201210257482300|L079-01|Шприцы 1,0|1 800|г.Сулюкта,п.Кош-Булак, ул.С.Султанова, 109, склад больничной аптеки|<span>Условие поставки</span>|Поставка производится дробно: 1 этап -50% до 25.12.20 г, 2 этап-50% до 25.01.20 г.
201210257482300|L080-01|Шприцы 10,0|32 000|г.Сулюкта,п.Кош-Булак, ул.С.Султанова, 109, склад больничной аптеки|<span>Условие поставки</span>|Поставка производится дробно: 1 этап -50% до 25.12.20 г, 2 этап-50% до 25.01.20 г.
201210257482300|L081-01|Шприцы 2,0|16 800|г.Сулюкта,п.Кош-Булак, ул.С.Султанова, 109, склад больничной аптеки|<span>Условие поставки</span>|Поставка производится дробно: 1 этап -50% до 25.12.20 г, 2 этап-50% до 25.01.20 г.
201210257482300|L082-01|Шприцы 5,0|20 000|г.Сулюкта,п.Кош-Булак, ул.С.Султанова, 109, склад больничной аптеки|<span>Условие поставки</span>|Поставка производится дробно: 1 этап -50% до 25.12.20 г, 2 этап-50% до 25.01.20 г.
201210257482300|L083-01|Эналаприл 10 мг*20|300|г.Сулюкта,п.Кош-Булак, ул.С.Султанова, 109, склад больничной аптеки|<span>Условие поставки</span>|Поставка производится дробно: 1 этап -50% до 25.12.20 г, 2 этап-50% до 25.01.20 г.
201210257482300|L084-01|Эналаприл 5 мг*20|75|г.Сулюкта,п.Кош-Булак, ул.С.Султанова, 109, склад больничной аптеки|<span>Условие поставки</span>|Поставка производится дробно: 1 этап -50% до 25.12.20 г, 2 этап-50% до 25.01.20 г.
201210257482300|L085-01|Эуфиллин 2,4%  5 мл*10|1 650|г.Сулюкта,п.Кош-Булак, ул.С.Султанова, 109, склад больничной аптеки|<span>Условие поставки</span>|Поставка производится дробно: 1 этап -50% до 25.12.20 г, 2 этап-50% до 25.01.20 г.
201210255614044|L001-01|Коврик метражный, стиральный порошок|4 850|Ысык-Атинский р-н, с.Кенеш, ул.Ленина 73|<span>Условие поставки</span>|В течении 2х рабочих дней после заключения договора
201210255614044|L002-01|Перчатки рабочие, резиновые|2 600|Ысык-Атинский р-н, с.Кенеш, ул.Ленина 73|<span>Условие поставки</span>|В течении 2х рабочих дней после заключения договора
201210255614044|L003-01|Обогреватель|18 000|Ысык-Атинский р-н, с.Кенеш, ул.Ленина 73|<span>Условие поставки</span>|В течении 2х рабочих дней после заключения договора
201210255614044|L004-01|Бумага офисная, стержни|8 150|Ысык-Атинский р-н, с.Кенеш, ул.Ленина 73|<span>Условие поставки</span>|В течении 2х рабочих дней после заключения договора
201210255614044|L005-01|Нетканое полотно|9 000|Ысык-Атинский р-н, с.Кенеш, ул.Ленина 73|<span>Условие поставки</span>|В течении 2х рабочих дней после заключения договора
201210255614044|L006-01|Термометр настенный|2 000|Ысык-Атинский р-н, с.Кенеш, ул.Ленина 73|<span>Условие поставки</span>|В течении 2х рабочих дней после заключения договора
201210255614044|L007-01|Антисептик дезинфицирующий|2 400|Ысык-Атинский р-н, с.Кенеш, ул.Ленина 73|<span>Условие поставки</span>|В течении 2х рабочих дней после заключения договора
201210255614044|L008-01|Гипохлорит кальция - хлорка|3 000|Ысык-Атинский р-н, с.Кенеш, ул.Ленина 73|<span>Условие поставки</span>|В течении 2х рабочих дней после заключения договора
201210255614044|L009-01|Электротовары|6 115|Ысык-Атинский р-н, с.Кенеш, ул.Ленина 73|<span>Условие поставки</span>|В течении 2х рабочих дней после заключения договора
201210255614044|L010-01|Канцтовары|16 550|Ысык-Атинский р-н, с.Кенеш, ул.Ленина 73|<span>Условие поставки</span>|В течении 2х рабочих дней после заключения договора
201210255614044|L011-01|Лоток -подставки для папок,, почетная грамота|4 270|Ысык-Атинский р-н, с.Кенеш, ул.Ленина 73|<span>Условие поставки</span>|В течении 2х рабочих дней после заключения договора
201210255614044|L012-01|Рамы для фотографии|2 400|Ысык-Атинский р-н, с.Кенеш, ул.Ленина 73|<span>Условие поставки</span>|В течении 2х рабочих дней после заключения договора
201210257572184|L001-01|Кенсе буюмдарын сатып алуу|34 340|г. Ноокат ул. Лутфуллаева 5|<span>Условие поставки</span>|согласно по графика
201210257563767|L001-01|Чай черный листовой.|10 000|г. Бишкек ул. Ю. Фучика 15/1. Городская клиническая больница №1.|<span>Условие поставки</span>|По договору.
201210257565488|L001-01|Мектепке чейинки билим беруу мекемелерине медициналык каражаттарды алуу|100 220|с/у Зулпуев|<span>Условие поставки</span>|согл.договора
201210257516140|L001-01|Покупка огнетушителей для школ и детских садиков с/у Кызыл-Кыштак|57 000|с/у Кызыл-Кыштак|<span>Условие поставки</span>|по договору
201210257573327|L001-01|Канцелярские товары|20 990|с.Бостери|<span>Условие поставки</span>|при заключении договора в течении 3 дней 
201210257556129|L001-01|Услуга установки видео камеры наблюдение для детских садов.|174 329|По всем детсадом Ырыс ао|"
"|
201210257482300|L001-01|"Азитромицин 250 мг №3
"|950|г.Сулюкта,п.Кош-Булак, ул.С.Султанова, 109, склад больничной аптеки|<span>Условие поставки</span>|Поставка производится дробно: 1 этап -50% до 25.12.20 г, 2 этап-50% до 25.01.20 г.
201210257482300|L002-01|Азитромицин 500 мг №3|10 000|г.Сулюкта,п.Кош-Булак, ул.С.Султанова, 109, склад больничной аптеки|<span>Условие поставки</span>|Поставка производится дробно: 1 этап -50% до 25.12.20 г, 2 этап-50% до 25.01.20 г.
201210257482300|L003-01|Альфа-амилаза для Humalyzer 3500|26 668|г.Сулюкта,п.Кош-Булак, ул.С.Султанова, 109, склад больничной аптеки|<span>Условие поставки</span>|Поставка производится дробно: 1 этап -50% до 25.12.20 г, 2 этап-50% до 25.01.20 г.
201210257482300|L004-01|Аммиак 10% 30,0|660|г.Сулюкта,п.Кош-Булак, ул.С.Султанова, 109, склад больничной аптеки|<span>Условие поставки</span>|Поставка производится дробно: 1 этап -50% до 25.12.20 г, 2 этап-50% до 25.01.20 г.
201210257482300|L005-01|Антисептический раствор на спиртово-глицериновой основе 1,0|16 800|г.Сулюкта,п.Кош-Булак, ул.С.Султанова, 109, склад больничной аптеки|<span>Условие поставки</span>|Поставка производится дробно: 1 этап -50% до 25.12.20 г, 2 этап-50% до 25.01.20 г.
201210257482300|L006-01|Атропин сульфат 1*10|780|г.Сулюкта,п.Кош-Булак, ул.С.Султанова, 109, склад больничной аптеки|<span>Условие поставки</span>|Поставка производится дробно: 1 этап -50% до 25.12.20 г, 2 этап-50% до 25.01.20 г.
